customerid;billing_date;monthlycharges;internetservice;onlinesecurity;onlinebackup;deviceprotection;techsupport;phone_lines;streaming
a3eb2b52fe0a63d2351819270bcedbf6;2023-06-30;99.65;Fiber optic;No;No;Yes;No;2;Yes
a3eb2b52fe0a63d2351819270bcedbf6;2023-07-31;99.65;Fiber optic;No;No;Yes;No;2;Yes
a3eb2b52fe0a63d2351819270bcedbf6;2023-08-31;99.65;Fiber optic;No;No;Yes;No;2;Yes
a3eb2b52fe0a63d2351819270bcedbf6;2023-09-08;99.65;Fiber optic;No;No;Yes;No;2;Yes
566910fcbde007d8d4199daea466331c;2023-01-31;89.1;Fiber optic;No;Yes;No;No;2;Yes
566910fcbde007d8d4199daea466331c;2023-02-28;89.1;Fiber optic;No;Yes;No;No;2;Yes
566910fcbde007d8d4199daea466331c;2023-03-31;89.1;Fiber optic;No;Yes;No;No;2;Yes
566910fcbde007d8d4199daea466331c;2023-04-30;89.1;Fiber optic;No;Yes;No;No;2;Yes
566910fcbde007d8d4199daea466331c;2023-05-31;89.1;Fiber optic;No;Yes;No;No;2;Yes
566910fcbde007d8d4199daea466331c;2023-06-30;89.1;Fiber optic;No;Yes;No;No;2;Yes
566910fcbde007d8d4199daea466331c;2023-07-31;89.1;Fiber optic;No;Yes;No;No;2;Yes
566910fcbde007d8d4199daea466331c;2023-08-31;89.1;Fiber optic;No;Yes;No;No;2;Yes
566910fcbde007d8d4199daea466331c;2023-09-30;106.91999999999999;Fiber optic;No;Yes;No;No;2;Yes
566910fcbde007d8d4199daea466331c;2023-10-31;106.91999999999999;Fiber optic;No;Yes;No;No;2;Yes
44a2787f13e8a405664d1ed0e6e8540b;2023-01-31;29.75;DSL;Yes;No;No;No;0;No
44a2787f13e8a405664d1ed0e6e8540b;2023-02-28;29.75;DSL;Yes;No;No;No;0;No
44a2787f13e8a405664d1ed0e6e8540b;2023-03-31;29.75;DSL;Yes;No;No;No;0;No
44a2787f13e8a405664d1ed0e6e8540b;2023-04-30;29.75;DSL;Yes;No;No;No;0;No
44a2787f13e8a405664d1ed0e6e8540b;2023-05-31;29.75;DSL;Yes;No;No;No;0;No
44a2787f13e8a405664d1ed0e6e8540b;2023-06-30;29.75;DSL;Yes;No;No;No;0;No
44a2787f13e8a405664d1ed0e6e8540b;2023-07-31;29.75;DSL;Yes;No;No;No;0;No
44a2787f13e8a405664d1ed0e6e8540b;2023-08-31;29.75;DSL;Yes;No;No;No;0;No
44a2787f13e8a405664d1ed0e6e8540b;2023-09-30;29.75;DSL;Yes;No;No;No;0;No
44a2787f13e8a405664d1ed0e6e8540b;2023-10-31;29.75;DSL;Yes;No;No;No;0;No
b6e3534f9b289114eab3721f4cf6f2f9;2023-01-31;104.8;Fiber optic;No;No;Yes;Yes;2;Yes
b6e3534f9b289114eab3721f4cf6f2f9;2023-02-28;104.8;Fiber optic;No;No;Yes;Yes;2;Yes
b6e3534f9b289114eab3721f4cf6f2f9;2023-03-04;104.8;Fiber optic;No;No;Yes;Yes;2;Yes
ef59eb419f267bda49c2714565bb58da;2023-01-31;56.15;DSL;Yes;Yes;No;No;1;No
ef59eb419f267bda49c2714565bb58da;2023-02-28;56.15;DSL;Yes;Yes;No;No;1;No
ef59eb419f267bda49c2714565bb58da;2023-03-31;56.15;DSL;Yes;Yes;No;No;1;No
ef59eb419f267bda49c2714565bb58da;2023-04-30;56.15;DSL;Yes;Yes;No;No;1;No
ef59eb419f267bda49c2714565bb58da;2023-05-31;56.15;DSL;Yes;Yes;No;No;1;No
ef59eb419f267bda49c2714565bb58da;2023-06-30;56.15;DSL;Yes;Yes;No;No;1;No
ef59eb419f267bda49c2714565bb58da;2023-07-31;56.15;DSL;Yes;Yes;No;No;1;No
ef59eb419f267bda49c2714565bb58da;2023-08-31;56.15;DSL;Yes;Yes;No;No;1;No
ef59eb419f267bda49c2714565bb58da;2023-09-30;56.15;DSL;Yes;Yes;No;No;1;No
ef59eb419f267bda49c2714565bb58da;2023-10-31;56.15;DSL;Yes;Yes;No;No;1;No
cb77c661adb117d260252d111852d88e;2023-01-31;49.95;DSL;Yes;No;No;No;1;No
cb77c661adb117d260252d111852d88e;2023-02-28;59.94;DSL;Yes;No;No;No;1;No
cb77c661adb117d260252d111852d88e;2023-03-31;59.94;DSL;Yes;No;No;No;1;No
cb77c661adb117d260252d111852d88e;2023-04-30;59.94;DSL;Yes;No;No;No;1;No
cb77c661adb117d260252d111852d88e;2023-05-31;59.94;DSL;Yes;No;No;No;1;No
cb77c661adb117d260252d111852d88e;2023-06-30;59.94;DSL;Yes;No;No;No;1;No
cb77c661adb117d260252d111852d88e;2023-07-31;59.94;DSL;Yes;No;No;No;1;No
cb77c661adb117d260252d111852d88e;2023-08-31;59.94;DSL;Yes;No;No;No;1;No
cb77c661adb117d260252d111852d88e;2023-09-30;59.94;DSL;Yes;No;No;No;1;No
cb77c661adb117d260252d111852d88e;2023-10-31;59.94;DSL;Yes;No;No;No;1;No
9bd2ef9beaccc692e346dc417b4a4086;2023-01-31;18.95;No;No internet service;No internet service;No internet service;No internet service;1;No
9bd2ef9beaccc692e346dc417b4a4086;2023-02-28;18.95;No;No internet service;No internet service;No internet service;No internet service;1;No
9bd2ef9beaccc692e346dc417b4a4086;2023-03-31;18.95;No;No internet service;No internet service;No internet service;No internet service;1;No
9bd2ef9beaccc692e346dc417b4a4086;2023-04-30;18.95;No;No internet service;No internet service;No internet service;No internet service;1;No
9bd2ef9beaccc692e346dc417b4a4086;2023-05-31;18.95;No;No internet service;No internet service;No internet service;No internet service;1;No
9bd2ef9beaccc692e346dc417b4a4086;2023-06-30;18.95;No;No internet service;No internet service;No internet service;No internet service;1;No
9bd2ef9beaccc692e346dc417b4a4086;2023-07-31;18.95;No;No internet service;No internet service;No internet service;No internet service;1;No
9bd2ef9beaccc692e346dc417b4a4086;2023-08-31;18.95;No;No internet service;No internet service;No internet service;No internet service;1;No
9bd2ef9beaccc692e346dc417b4a4086;2023-09-30;18.95;No;No internet service;No internet service;No internet service;No internet service;1;No
9bd2ef9beaccc692e346dc417b4a4086;2023-10-31;18.95;No;No internet service;No internet service;No internet service;No internet service;1;No
56455bcbfc7d7e30319968ef6f7115a6;2023-01-31;100.35;Fiber optic;No;No;Yes;No;2;Yes
56455bcbfc7d7e30319968ef6f7115a6;2023-02-28;100.35;Fiber optic;No;No;Yes;No;2;Yes
56455bcbfc7d7e30319968ef6f7115a6;2023-03-31;100.35;Fiber optic;No;No;Yes;No;2;Yes
56455bcbfc7d7e30319968ef6f7115a6;2023-04-30;100.35;Fiber optic;No;No;Yes;No;2;Yes
56455bcbfc7d7e30319968ef6f7115a6;2023-05-31;100.35;Fiber optic;No;No;Yes;No;2;Yes
56455bcbfc7d7e30319968ef6f7115a6;2023-06-30;100.35;Fiber optic;No;No;Yes;No;2;Yes
56455bcbfc7d7e30319968ef6f7115a6;2023-07-31;100.35;Fiber optic;No;No;Yes;No;2;Yes
56455bcbfc7d7e30319968ef6f7115a6;2023-08-31;100.35;Fiber optic;No;No;Yes;No;2;Yes
56455bcbfc7d7e30319968ef6f7115a6;2023-09-30;100.35;Fiber optic;No;No;Yes;No;2;Yes
56455bcbfc7d7e30319968ef6f7115a6;2023-10-31;100.35;Fiber optic;No;No;Yes;No;2;Yes
34af156cf33959c65838f86c0c9b645b;2023-01-31;103.7;Fiber optic;No;Yes;Yes;No;2;Yes
34af156cf33959c65838f86c0c9b645b;2023-02-28;124.44;Fiber optic;No;Yes;Yes;No;2;Yes
34af156cf33959c65838f86c0c9b645b;2023-03-31;124.44;Fiber optic;No;Yes;Yes;No;2;Yes
34af156cf33959c65838f86c0c9b645b;2023-04-30;124.44;Fiber optic;No;Yes;Yes;No;2;Yes
34af156cf33959c65838f86c0c9b645b;2023-05-31;124.44;Fiber optic;No;Yes;Yes;No;2;Yes
34af156cf33959c65838f86c0c9b645b;2023-06-08;124.44;Fiber optic;No;Yes;Yes;No;2;Yes
1278efa6faa9bf6315228f71442d1be4;2023-01-31;105.5;Fiber optic;Yes;No;Yes;Yes;1;Yes
1278efa6faa9bf6315228f71442d1be4;2023-02-28;105.5;Fiber optic;Yes;No;Yes;Yes;1;Yes
1278efa6faa9bf6315228f71442d1be4;2023-03-31;105.5;Fiber optic;Yes;No;Yes;Yes;1;Yes
1278efa6faa9bf6315228f71442d1be4;2023-04-30;105.5;Fiber optic;Yes;No;Yes;Yes;1;Yes
1278efa6faa9bf6315228f71442d1be4;2023-05-31;105.5;Fiber optic;Yes;No;Yes;Yes;1;Yes
1278efa6faa9bf6315228f71442d1be4;2023-06-30;105.5;Fiber optic;Yes;No;Yes;Yes;1;Yes
1278efa6faa9bf6315228f71442d1be4;2023-07-31;105.5;Fiber optic;Yes;No;Yes;Yes;1;Yes
1278efa6faa9bf6315228f71442d1be4;2023-08-31;105.5;Fiber optic;Yes;No;Yes;Yes;1;Yes
1278efa6faa9bf6315228f71442d1be4;2023-09-30;126.6;Fiber optic;Yes;No;Yes;Yes;1;Yes
1278efa6faa9bf6315228f71442d1be4;2023-10-31;126.6;Fiber optic;Yes;No;Yes;Yes;1;Yes
ff1b73a749f2a0405cccb11c5a81ee8d;2023-01-31;113.25;Fiber optic;Yes;Yes;Yes;Yes;2;Yes
ff1b73a749f2a0405cccb11c5a81ee8d;2023-02-28;113.25;Fiber optic;Yes;Yes;Yes;Yes;2;Yes
ff1b73a749f2a0405cccb11c5a81ee8d;2023-03-31;113.25;Fiber optic;Yes;Yes;Yes;Yes;2;Yes
ff1b73a749f2a0405cccb11c5a81ee8d;2023-04-30;113.25;Fiber optic;Yes;Yes;Yes;Yes;2;Yes
ff1b73a749f2a0405cccb11c5a81ee8d;2023-05-31;113.25;Fiber optic;Yes;Yes;Yes;Yes;2;Yes
ff1b73a749f2a0405cccb11c5a81ee8d;2023-06-30;113.25;Fiber optic;Yes;Yes;Yes;Yes;2;Yes
ff1b73a749f2a0405cccb11c5a81ee8d;2023-07-31;113.25;Fiber optic;Yes;Yes;Yes;Yes;2;Yes
ff1b73a749f2a0405cccb11c5a81ee8d;2023-08-31;113.25;Fiber optic;Yes;Yes;Yes;Yes;2;Yes
ff1b73a749f2a0405cccb11c5a81ee8d;2023-09-30;113.25;Fiber optic;Yes;Yes;Yes;Yes;2;Yes
ff1b73a749f2a0405cccb11c5a81ee8d;2023-10-31;113.25;Fiber optic;Yes;Yes;Yes;Yes;2;Yes
6f32626d895e714530519cc9e148d836;2023-01-31;20.65;No;No internet service;No internet service;No internet service;No internet service;1;No
6f32626d895e714530519cc9e148d836;2023-02-28;20.65;No;No internet service;No internet service;No internet service;No internet service;1;No
6f32626d895e714530519cc9e148d836;2023-03-31;20.65;No;No internet service;No internet service;No internet service;No internet service;1;No
6f32626d895e714530519cc9e148d836;2023-04-30;20.65;No;No internet service;No internet service;No internet service;No internet service;1;No
6f32626d895e714530519cc9e148d836;2023-05-31;20.65;No;No internet service;No internet service;No internet service;No internet service;1;No
6f32626d895e714530519cc9e148d836;2023-06-30;20.65;No;No internet service;No internet service;No internet service;No internet service;1;No
6f32626d895e714530519cc9e148d836;2023-07-31;20.65;No;No internet service;No internet service;No internet service;No internet service;1;No
6f32626d895e714530519cc9e148d836;2023-08-31;20.65;No;No internet service;No internet service;No internet service;No internet service;1;No
6f32626d895e714530519cc9e148d836;2023-09-30;20.65;No;No internet service;No internet service;No internet service;No internet service;1;No
6f32626d895e714530519cc9e148d836;2023-10-31;20.65;No;No internet service;No internet service;No internet service;No internet service;1;No
5e4ae366c81de8a15182726f11d38caa;2023-01-31;106.7;Fiber optic;Yes;No;Yes;No;2;Yes
5e4ae366c81de8a15182726f11d38caa;2023-02-28;106.7;Fiber optic;Yes;No;Yes;No;2;Yes
5e4ae366c81de8a15182726f11d38caa;2023-03-31;106.7;Fiber optic;Yes;No;Yes;No;2;Yes
5e4ae366c81de8a15182726f11d38caa;2023-04-30;106.7;Fiber optic;Yes;No;Yes;No;2;Yes
5e4ae366c81de8a15182726f11d38caa;2023-05-31;106.7;Fiber optic;Yes;No;Yes;No;2;Yes
5e4ae366c81de8a15182726f11d38caa;2023-06-30;106.7;Fiber optic;Yes;No;Yes;No;2;Yes
5e4ae366c81de8a15182726f11d38caa;2023-07-31;106.7;Fiber optic;Yes;No;Yes;No;2;Yes
5e4ae366c81de8a15182726f11d38caa;2023-08-31;106.7;Fiber optic;Yes;No;Yes;No;2;Yes
5e4ae366c81de8a15182726f11d38caa;2023-09-30;106.7;Fiber optic;Yes;No;Yes;No;2;Yes
5e4ae366c81de8a15182726f11d38caa;2023-10-31;106.7;Fiber optic;Yes;No;Yes;No;2;Yes
d9072a503a0c041ee6b83ce2a83367d1;2023-01-31;55.2;DSL;No;No;Yes;Yes;1;No
d9072a503a0c041ee6b83ce2a83367d1;2023-02-28;55.2;DSL;No;No;Yes;Yes;1;No
d9072a503a0c041ee6b83ce2a83367d1;2023-03-31;55.2;DSL;No;No;Yes;Yes;1;No
d9072a503a0c041ee6b83ce2a83367d1;2023-04-30;55.2;DSL;No;No;Yes;Yes;1;No
d9072a503a0c041ee6b83ce2a83367d1;2023-05-31;55.2;DSL;No;No;Yes;Yes;1;No
d9072a503a0c041ee6b83ce2a83367d1;2023-06-30;55.2;DSL;No;No;Yes;Yes;1;No
d9072a503a0c041ee6b83ce2a83367d1;2023-07-31;55.2;DSL;No;No;Yes;Yes;1;No
d9072a503a0c041ee6b83ce2a83367d1;2023-08-31;55.2;DSL;No;No;Yes;Yes;1;No
d9072a503a0c041ee6b83ce2a83367d1;2023-09-06;55.2;DSL;No;No;Yes;Yes;1;No
b81f00f3d2a9f8538ab23b0aecead152;2023-01-31;90.05;Fiber optic;No;Yes;Yes;No;1;Yes
b81f00f3d2a9f8538ab23b0aecead152;2023-02-28;90.05;Fiber optic;No;Yes;Yes;No;1;Yes
b81f00f3d2a9f8538ab23b0aecead152;2023-03-31;90.05;Fiber optic;No;Yes;Yes;No;1;Yes
b81f00f3d2a9f8538ab23b0aecead152;2023-04-30;90.05;Fiber optic;No;Yes;Yes;No;1;Yes
b81f00f3d2a9f8538ab23b0aecead152;2023-05-31;90.05;Fiber optic;No;Yes;Yes;No;1;Yes
b81f00f3d2a9f8538ab23b0aecead152;2023-06-30;90.05;Fiber optic;No;Yes;Yes;No;1;Yes
b81f00f3d2a9f8538ab23b0aecead152;2023-07-31;90.05;Fiber optic;No;Yes;Yes;No;1;Yes
b81f00f3d2a9f8538ab23b0aecead152;2023-08-31;90.05;Fiber optic;No;Yes;Yes;No;1;Yes
b81f00f3d2a9f8538ab23b0aecead152;2023-09-30;90.05;Fiber optic;No;Yes;Yes;No;1;Yes
b81f00f3d2a9f8538ab23b0aecead152;2023-10-31;90.05;Fiber optic;No;Yes;Yes;No;1;Yes
18307f48c445b90b6be7232d0ad41ce0;2023-01-31;39.65;DSL;No;No;Yes;No;0;Yes
18307f48c445b90b6be7232d0ad41ce0;2023-02-28;39.65;DSL;No;No;Yes;No;0;Yes
18307f48c445b90b6be7232d0ad41ce0;2023-03-31;39.65;DSL;No;No;Yes;No;0;Yes
18307f48c445b90b6be7232d0ad41ce0;2023-04-30;39.65;DSL;No;No;Yes;No;0;Yes
18307f48c445b90b6be7232d0ad41ce0;2023-05-04;39.65;DSL;No;No;Yes;No;0;Yes
5ecab684cde149c9337ce8159d94e5ee;2023-01-31;19.8;No;No internet service;No internet service;No internet service;No internet service;1;No
5ecab684cde149c9337ce8159d94e5ee;2023-02-28;19.8;No;No internet service;No internet service;No internet service;No internet service;1;No
5ecab684cde149c9337ce8159d94e5ee;2023-03-31;23.76;No;No internet service;No internet service;No internet service;No internet service;1;No
5ecab684cde149c9337ce8159d94e5ee;2023-04-30;23.76;No;No internet service;No internet service;No internet service;No internet service;1;No
5ecab684cde149c9337ce8159d94e5ee;2023-05-31;23.76;No;No internet service;No internet service;No internet service;No internet service;1;No
5ecab684cde149c9337ce8159d94e5ee;2023-06-30;23.76;No;No internet service;No internet service;No internet service;No internet service;1;No
5ecab684cde149c9337ce8159d94e5ee;2023-07-31;23.76;No;No internet service;No internet service;No internet service;No internet service;1;No
5ecab684cde149c9337ce8159d94e5ee;2023-08-31;23.76;No;No internet service;No internet service;No internet service;No internet service;1;No
5ecab684cde149c9337ce8159d94e5ee;2023-09-30;23.76;No;No internet service;No internet service;No internet service;No internet service;1;No
5ecab684cde149c9337ce8159d94e5ee;2023-10-31;23.76;No;No internet service;No internet service;No internet service;No internet service;1;No
cf4d3dcf089c650b224975a84ea8ef94;2023-01-31;20.15;No;No internet service;No internet service;No internet service;No internet service;1;No
cf4d3dcf089c650b224975a84ea8ef94;2023-02-28;20.15;No;No internet service;No internet service;No internet service;No internet service;1;No
cf4d3dcf089c650b224975a84ea8ef94;2023-03-19;20.15;No;No internet service;No internet service;No internet service;No internet service;1;No
bf48ae1f9b35867b95630f2122ad284e;2023-01-31;59.9;DSL;No;Yes;No;Yes;2;No
bf48ae1f9b35867b95630f2122ad284e;2023-02-28;59.9;DSL;No;Yes;No;Yes;2;No
bf48ae1f9b35867b95630f2122ad284e;2023-03-31;59.9;DSL;No;Yes;No;Yes;2;No
bf48ae1f9b35867b95630f2122ad284e;2023-04-30;59.9;DSL;No;Yes;No;Yes;2;No
bf48ae1f9b35867b95630f2122ad284e;2023-05-31;59.9;DSL;No;Yes;No;Yes;2;No
bf48ae1f9b35867b95630f2122ad284e;2023-06-30;59.9;DSL;No;Yes;No;Yes;2;No
bf48ae1f9b35867b95630f2122ad284e;2023-07-31;59.9;DSL;No;Yes;No;Yes;2;No
bf48ae1f9b35867b95630f2122ad284e;2023-08-31;59.9;DSL;No;Yes;No;Yes;2;No
bf48ae1f9b35867b95630f2122ad284e;2023-09-30;59.9;DSL;No;Yes;No;Yes;2;No
bf48ae1f9b35867b95630f2122ad284e;2023-10-31;59.9;DSL;No;Yes;No;Yes;2;No
77b5d74e9a3ba3f35482c71b1cacf55a;2023-01-31;59.6;DSL;Yes;Yes;No;Yes;1;No
77b5d74e9a3ba3f35482c71b1cacf55a;2023-02-28;59.6;DSL;Yes;Yes;No;Yes;1;No
77b5d74e9a3ba3f35482c71b1cacf55a;2023-03-31;59.6;DSL;Yes;Yes;No;Yes;1;No
77b5d74e9a3ba3f35482c71b1cacf55a;2023-04-30;59.6;DSL;Yes;Yes;No;Yes;1;No
77b5d74e9a3ba3f35482c71b1cacf55a;2023-05-31;59.6;DSL;Yes;Yes;No;Yes;1;No
77b5d74e9a3ba3f35482c71b1cacf55a;2023-06-30;59.6;DSL;Yes;Yes;No;Yes;1;No
77b5d74e9a3ba3f35482c71b1cacf55a;2023-07-31;59.6;DSL;Yes;Yes;No;Yes;1;No
77b5d74e9a3ba3f35482c71b1cacf55a;2023-08-31;59.6;DSL;Yes;Yes;No;Yes;1;No
77b5d74e9a3ba3f35482c71b1cacf55a;2023-09-30;71.52;DSL;Yes;Yes;No;Yes;1;No
77b5d74e9a3ba3f35482c71b1cacf55a;2023-10-31;71.52;DSL;Yes;Yes;No;Yes;1;No
8dc922d82ca2c33d01f4832683d84c96;2023-01-31;55.3;DSL;Yes;Yes;No;No;1;No
8dc922d82ca2c33d01f4832683d84c96;2023-02-28;55.3;DSL;Yes;Yes;No;No;1;No
8dc922d82ca2c33d01f4832683d84c96;2023-03-31;55.3;DSL;Yes;Yes;No;No;1;No
8dc922d82ca2c33d01f4832683d84c96;2023-04-30;55.3;DSL;Yes;Yes;No;No;1;No
8dc922d82ca2c33d01f4832683d84c96;2023-05-31;55.3;DSL;Yes;Yes;No;No;1;No
8dc922d82ca2c33d01f4832683d84c96;2023-06-30;55.3;DSL;Yes;Yes;No;No;1;No
8dc922d82ca2c33d01f4832683d84c96;2023-07-31;55.3;DSL;Yes;Yes;No;No;1;No
8dc922d82ca2c33d01f4832683d84c96;2023-08-31;55.3;DSL;Yes;Yes;No;No;1;No
8dc922d82ca2c33d01f4832683d84c96;2023-09-30;55.3;DSL;Yes;Yes;No;No;1;No
8dc922d82ca2c33d01f4832683d84c96;2023-10-31;55.3;DSL;Yes;Yes;No;No;1;No
7f01ab7b54553939ee188e46b6095a04;2023-01-31;99.35;Fiber optic;No;Yes;No;No;2;Yes
7f01ab7b54553939ee188e46b6095a04;2023-02-28;99.35;Fiber optic;No;Yes;No;No;2;Yes
7f01ab7b54553939ee188e46b6095a04;2023-03-31;99.35;Fiber optic;No;Yes;No;No;2;Yes
7f01ab7b54553939ee188e46b6095a04;2023-04-09;99.35;Fiber optic;No;Yes;No;No;2;Yes
697ba0a9ae9e04d1166a8b9981e0c775;2023-01-31;30.2;DSL;No;Yes;No;No;0;No
697ba0a9ae9e04d1166a8b9981e0c775;2023-02-28;30.2;DSL;No;Yes;No;No;0;No
697ba0a9ae9e04d1166a8b9981e0c775;2023-03-31;30.2;DSL;No;Yes;No;No;0;No
697ba0a9ae9e04d1166a8b9981e0c775;2023-04-15;30.2;DSL;No;Yes;No;No;0;No
7e3dff09edd3809ef5c7562fbd7f3677;2023-01-31;90.25;DSL;Yes;Yes;Yes;Yes;2;Yes
7e3dff09edd3809ef5c7562fbd7f3677;2023-02-28;90.25;DSL;Yes;Yes;Yes;Yes;2;Yes
7e3dff09edd3809ef5c7562fbd7f3677;2023-03-31;90.25;DSL;Yes;Yes;Yes;Yes;2;Yes
7e3dff09edd3809ef5c7562fbd7f3677;2023-04-30;90.25;DSL;Yes;Yes;Yes;Yes;2;Yes
7e3dff09edd3809ef5c7562fbd7f3677;2023-05-31;90.25;DSL;Yes;Yes;Yes;Yes;2;Yes
7e3dff09edd3809ef5c7562fbd7f3677;2023-06-30;90.25;DSL;Yes;Yes;Yes;Yes;2;Yes
7e3dff09edd3809ef5c7562fbd7f3677;2023-07-31;90.25;DSL;Yes;Yes;Yes;Yes;2;Yes
7e3dff09edd3809ef5c7562fbd7f3677;2023-08-31;90.25;DSL;Yes;Yes;Yes;Yes;2;Yes
7e3dff09edd3809ef5c7562fbd7f3677;2023-09-30;90.25;DSL;Yes;Yes;Yes;Yes;2;Yes
7e3dff09edd3809ef5c7562fbd7f3677;2023-10-31;90.25;DSL;Yes;Yes;Yes;Yes;2;Yes
5de6a6b6f5957c95be50cd2a04299f9d;2023-01-31;64.7;DSL;No;No;No;No;1;Yes
5de6a6b6f5957c95be50cd2a04299f9d;2023-02-28;64.7;DSL;No;No;No;No;1;Yes
